id,rdf:type ,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,karstlink:documentType,rdfs:label,dct:subject,dc:langage,gn:countryCode,dct:date,dct:format,dct:identifier,dct:source,dct:creator,dct:publisher,dct:isPartOf,dct:references,karstlink:relatedToUndergoundCavity,karstlink:hasDescriptionDocument/dct:creator,karstlink:hasDescriptionDocument/dc:language,karstlink:hasDescriptionDocument/dct:title,karstlink:hasDescriptionDocument/dct:description
42,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sous Terre - 4e campagne (1891),,FR,FR,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k453903r/f440,Édouard-Alfred Martel,"Bulletin de la Société scientifique, historique et archéologique de la Corrèze",,,,,,,
43,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur une cause particulière de contamination des eaux de sources dans les terrains calcaires,,FR,FR,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k3070h/f698,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
44,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur la glacière naturelle du Creux-Percé (Côte-d’Or),,FR,FR,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k3070h/f1222,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
45,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les katavothres du Péloponèse,,FR,FR,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k106796c/f245,Édouard-Alfred Martel,Revue de géographie,,,,,,,
46,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les katavothres du Péloponèse,,FR,FR,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k106796c/f340,Édouard-Alfred Martel,Revue de géographie,,,,,,,
47,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur le gouffre du Creux de Souci (Puy-de-Dôme),,FR,FR,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k3071t/f72,André Delebecque|Gabriel Gaupillat|Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
48,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur la rivière souterraine du Tindoul de la Vayssière et les sources de Salles-la-Source (Aveyron),,FR,FR,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k3071t/f742,Gabriel Gaupillat|Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
49,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Le Tindoul de la Vayssière (Aveyron),,FR,FR,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k106796c/f431,Gabriel Gaupillat|Édouard-Alfred Martel,Revue de géographie,,,,,,,
50,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,"Sous terre (sixième campagne), 1893 (Prolongement de la grotte d'Adelsberg, Autriche)",,FR,FR,1893,,,https://gallica.bnf.fr/ark:/12148/bpt6k9609741d/f337,Édouard-Alfred Martel,"Annuaire du Club Alpin Français, Paris",,,,,,,
51,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,La Riviere souterraine de Bramabiau (Gard) 1888-1892,,FR,FR,1893,,,https://gallica.bnf.fr/ark:/12148/bpt6k37732t/f101,Édouard-Alfred Martel,"Bulletin de la Societé de géographie, Paris",,,,,,,
