id,rdf:type ,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,karstlink:documentType,rdfs:label,dct:subject,dc:langage,gn:countryCode,dct:date,dct:format,dct:identifier,dct:source,dct:creator,dct:publisher,dct:isPartOf,dct:references,karstlink:relatedToUndergoundCavity,karstlink:hasAccessDocument/dct:creator,karstlink:hasAccessDocument/dc:language,karstlink:hasAccessDocument/dct:title,karstlink:hasAccessDocument/dct:description,
110972,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Problems of Geography],,,BG,,,,,,Bulgarian Academy of sciences,,,,SSS Société Suisse de Spéléologie,FR,,Trimestriel.ΩVol. 1 (1974) ->,
111543,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Rapports en coréen][Corée du Sud],,,KO,,,,,, Kangwondo : Cave Research Institut of Korea,,,,SSS Société Suisse de Spéléologie,FR,,"Fascicules divers, certains sur des cavités (plans), d'autres avec biospéologie.",
110301,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Sentiero degli dei] : L'Appennino meridionale : periodico di cultura e informazione della Sezione di Napoli del Club Alpino Italiano,,,IT,,,,,,Club Alpino Italiano - Sezione di Napoli,,,,SSS Société Suisse de Spéléologie,FR,,Semestriel.ΩFait suite à : L'Appennino meridionale (I 026.1).,
110723,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Speleological bulletin of the Institute of Natural sciences],,,RU,,,,,,M. Gorky University,,,,SSS Société Suisse de Spéléologie,FR,,No 1 (1947).ΩDevient : [Caves].,
110967,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Speleopraktika],,,BG,,,,,,Académie bulgare des sciences,,,,SSS Société Suisse de Spéléologie,FR,,7 (1969).,
110608,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Travaux de l'Institut] de spéologie «Emile Racovitza»,,,RO,,,,,,Institut de spéologie «Emil Racovitza»,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.ΩTome 1/2 (1962/1963) ->,
110728,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Vestnik Speleokluba Moskovkogo Gosudarstvennogo Universitets] = [bulletin du Club de spéléologie de l'université de Moscou],,,RU,,,,,,Speleokluba Moskovskogo Gosudarstvennogo [Club de spéléologie de l'université de Moscou],,,,SSS Société Suisse de Spéléologie,FR,,Trimestriel.ΩNo 3 (mai-sept. 1994) ->,
111220,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,1861 : revista Espeleologia y Arqueologia : organo oficial / del comite espeleologico de Matanzas sec,,,CU,,,,,,Comité Espeleológico de Matanzas,,,,SSS Société Suisse de Spéléologie,FR,,Ocasionnel.ΩAño 1 No.1 (Diciembre 1997) ->,
110551,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,A Gruta : boletim informativo EGB,,,BR,,,,,,Espeleogrupo de Brasilia,,,,SSS Société Suisse de Spéléologie,FR,,"Irrégulier.ΩAno I, no 1 (1983) - Ano IV, no 7 (1986).",
111540,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,A travers le masque : roches et eaux / Groupement spéléologique de la Charente,,,FR,,,,,,Groupement spéléologique de la Charente,,,,SSS Société Suisse de Spéléologie,FR,,,
110700,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Abhandlungen / Arbeitsgemeinschaft für Karstkunde Harz e.V.,,,DE,,,,,,Arbeitsgemeinschaft für Karstkunde in Niedersachsen e. V.,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩHeft 1 (1981) - Heft 5 (1987).ΩDevient : Abhandlungen / Arbeitsgemeinschaft für Karstkunde Harz e.V. Neue Folge.,
110703,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Abhandlungen / Arbeitsgemeinschaft für Karstkunde Harz e.V.,,,DE,,,,,,Arbeitsgemeinschaft für Karstkunde in Niedersachsen e. V.,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.ΩNeue Folge : Heft 1 (1994) ->ΩFait suite à : Abhandlungen / Arbeitsgemeinschaft für Karstkunde Harz e.V.,
110696,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Abhandlungen aus dem Westfälischen Museum für Naturkunde,,,DE,,,,,,Westfälisches Museum für Naturkunde,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.Ω1988 : Bibliographie zur Karst- und Höhlenkunde in Westfalen (unter Einschluss des Bergischen Landes).,
110694,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Abhandlungen zur Karst- und Höhlenkunde : Reihe B : Hydrologie,,,DE,,,,,,Verband der deutschen Höhlen- und Karstforscher,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩHeft 1 (1969).,
110695,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,"Abhandlungen zur Karst- und Höhlenkunde : Reihe C : Vor- und Frühgeschichte, Anthropologie",,,DE,,,,,,Verband der deutschen Höhlen- und Karstforscher,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩHeft 1 (1971).,
110458,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,"Abhandlungen zur Karst- und Höhlenkunde : Reihe D : Paläontologie, Zoologie",,,DE,,,,,,Verband der deutschen Höhlen- und Karstforscher,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩHeft 1 (1975) - Heft 3 (1978).,
110459,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Abhandlungen zur Karst- und Höhlenkunde : Reihe E : Botanik,,,DE,,,,,,Verband der deutschen Höhlen- und Karstforscher,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩHeft 1 (1964)-Heft 3 (1966).,
110460,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,"Abhandlungen zur Karst- und Höhlenkunde : Reihe F : Geschichte der Speläologie, Biographien",,,DE,,,,,,Verband der deutschen Höhlen- und Karstforscher,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩHeft 1 (1967)-Heft 7 (1978).,
